questions,answers
Tác giả Turing Test là ai?, Alan Turing
Trí tuệ nhân tạo viết tắt là: ,AI
Deep Blue là gì và nổi tiếng vì lí do: ,Một hệ thống trí tuệ nhân tạo nổi tiếng vì đã đánh bại nhà vô địch cờ vua
Định nghĩa trí tuệ nhân tạo có thể có mấy nhóm khác nhau: ,4
Trí tuệ nhân tạo là lĩnh vực nghiên cứu việc xây dựng các hệ thống máy tính  có đặc điểm gì? ,hành động như con người
Trí tuệ nhân tạo là lĩnh vực nghiên cứu việc xây dựng các hệ thống máy tính  có đặc điểm gì? ,Suy nghĩ hợp lí
Trí tuệ nhân tạo là lĩnh vực nghiên cứu việc xây dựng các hệ thống máy tính không có đặc điểm gì? , hành động ngẫu nhiên
Turing Test được sử dụng để đánh giá điều gì trong lĩnh vực trí tuệ nhân tạo: ,Khả năng AI trong việc hành động như con người
Đâu là chương trình trò chơi nổi tiếng áp dụng trí tuệ nhân tạo: ,Deep blue
Đâu là chương trình trò chơi nổi tiếng áp dụng trí tuệ nhân tạo: ,AlphaGo
Đâu là chương trình trò chơi nổi tiếng áp dụng trí tuệ nhân tạo: ,Hệ thống trả lời tự động Watson
Xử lý ngôn ngữ tự nhiên (NPL) trong trí tuệ nhân tạo thường được sử dụng để làm gì: ,"Hiểu và phân tích ngôn ngữ của con người,ví dụ như dịch thuật và chatbot"
Trí tuệ nhân tạo yếu(weak AI) thường được sử dụng trong những ứng dụng nào dưới đây? ,Các ứng dụng cụ thể đơn lẻ
Cho biết đâu là lĩnh vực nghiên cứu của trí tuệ nhân tạo: ,Tìm kiếm
Cho biết đâu là lĩnh vực nghiên cứu của trí tuệ nhân tạo: ,lập luận và suy diễn
Cho biết đâu là lĩnh vực nghiên cứu của trí tuệ nhân tạo: ,biểu diễn tri thức
AlphaGo là một chương trình trí tuệ nhân tạo nổi tiếng vì lí do: ,Đánh bại nhà vô địch cờ vây
Chức năng chính chử chatGPT là gì: ,Xử lý và tạo văn bản tự nhiên 

